UPC,name,id
3182550715744,Royal Canin German Shepherd Adult 12Kg,bigdogworld_001
3182550724159,Royal Canin German Shepherd Junior 12Kg,bigdogworld_002
3182550703079,Royal Canin Giant Adult 15Kg,bigdogworld_003
3182550707077,Royal Canin Giant Junior 15Kg,bigdogworld_004
3182550707046,Royal Canin Giant Puppy 15Kg,bigdogworld_005
3182550743440,Royal Canin Golden Retriever Adult 12Kg,bigdogworld_006
3182550751261,Royal Canin Golden Retriever Junior 12Kg,bigdogworld_007
3182550736046,Royal Canin Great Dane Adult 12Kg,bigdogworld_008
3182550715645,Royal Canin Labrador Retriever Adult 12Kg,bigdogworld_009
3182550725514,Royal Canin Labrador retriever junior 12Kg,bigdogworld_010
3182550401937,Royal Canin Maxi Adult 15Kg,bigdogworld_011
3182550402316,Royal Canin Maxi Adult 5+ 15Kg,bigdogworld_012
3182550803113,Royal Canin Maxi Ageing 8+ 15Kg,bigdogworld_013
3182550853347,Royal Canin Maxi Digestive Care 15Kg,bigdogworld_014
3182550855549,Royal Canin Maxi Joint Care 12Kg,bigdogworld_015
3182550704670,Royal Canin Maxi Light Weight Care 15Kg,bigdogworld_016
3182550402163,Royal Canin Maxi Puppy 15Kg,bigdogworld_017
3182550402217,Royal Canin Medium Adult 15Kg,bigdogworld_018
3182550402132,Royal Canin Medium Puppy 15Kg,bigdogworld_019
74198612291,Taste of the Wild High Prairie Venison 13Kg,bigdogworld_020
74198612253,Taste of the Wild Pacific Stream Salmon 13Kg,bigdogworld_021
74198610730,Taste of the Wild Pacific Stream Tins,bigdogworld_022
74198613298,Taste of the Wild Pine Forest Venison and Legumes 13Kg,bigdogworld_023
74198612369,Taste of the Wild Sierra Mountain Roast Lamb 13Kg,bigdogworld_024
74198611096,Taste of the Wild Sierra Mountain Tins,bigdogworld_025
74198612512,Taste of the Wild Southwest Canyon 13Kg,bigdogworld_026
74198611454,Taste of the Wild Southwest Canyon Tins,bigdogworld_027
74198610716,Taste of the Wild Wetlands Tins,bigdogworld_028
74198612215,Taste of the Wild Wetlands Wild Fowl 13Kg,bigdogworld_029
52742000633,Hill's Prescription Diet Canine Metabolic+Mobility Weight+Joint Care,bitiba.co.uk_001
52742002835,Hill�s Prescription Diet z/d Mini Allergy & Skin Care,bitiba.co.uk_002
52742007564,Hill's Prescription Diet Canine i/d Stress Mini Digestive Care,bitiba.co.uk_003
52742008912,Hill's Prescription Diet Canine Derm Defense Skin Care,bitiba.co.uk_004
52742010885,Hill's Ideal Balance Canine Adult No Grain - Chicken & Potato,bitiba.co.uk_005
52742010892,Hill's Ideal Balance Dry Dog Food Multibuys,bitiba.co.uk_006
52742011332,Hill's Science Plan Adult 1-6 No Grain Medium Chicken,bitiba.co.uk_007
52742011608,Hill�s Prescription Diet Canine k/d+Mobility Kidney+Joint Care,bitiba.co.uk_008
52742015781,Hill's Canine 7+ Youthful Vitality Mini - Chicken & Rice,bitiba.co.uk_009
52742015828,Hill's Canine 7+ Youthful Vitality Medium - Chicken & Rice,bitiba.co.uk_010
52742015842,Hill's Science Plan Adult 5+ Youthful Vitality Large Breed with Chicken,bitiba.co.uk_011
52742017297,Hill's Science Plan Adult 1-6 Sensitive Stomach & Skin Medium with Chicken,bitiba.co.uk_012
52742169804,Hill's Science Plan Adult 1-6 Light Mini with Chicken,bitiba.co.uk_013
52742170008,Hill's Science Plan Mature 7+ Light Mini - Chicken,bitiba.co.uk_014
52742180700,Hill's Prescription Diet Canine i/d Low Fat Digestive Care,bitiba.co.uk_015
52742201306,Hill's Science Plan Puppy Healthy Development Large Breed - Chicken,bitiba.co.uk_016
52742209906,Hill's Prescription Diet Canine Metabolic Weight Management,bitiba.co.uk_017
52742209906,Hill's Prescription Diet Canine Multibuys,bitiba.co.uk_018
52742281704,Hill's Science Plan Puppy Small & Miniature - Chicken & Turkey,bitiba.co.uk_019
52742282107,Hill's Science Plan Adult 1-6 Small & Miniature Chicken & Turkey,bitiba.co.uk_020
52742282701,Hill's Science Plan Canine Small & Miniature Mature Adult 7+ - Chicken,bitiba.co.uk_021
