id,gtin,mpn,sku,name
macmall_95,,5LD48USABA,,HP Inc. EliteBook 840 G3 6th Gen Intel Core i5-6300U Dual-Core 2.40GHz Notebook PC - 8GB RAM; 256GB SSD; 14in Full HD (1920x1080) IPS Anti-glare LED-backlit Display; Intel HD Graphics 520; Wi-Fi; Bluetooth; Webcam; Windows 10 Pro 64 (5LD48USABA)
macmall_111,,20KV000XUS,,Lenovo ThinkPad E585 20KV - Ryzen 3 2200U / 2.5 GHz - Win 10 Pro 64-bit - 4 GB RAM - 500 GB HDD - 15.6in 1366 x 768 (HD) - Radeon Vega 3 - Wi-Fi; Bluetooth - black (20KV000XUS)
macmall_115,,20KU0018US,,Lenovo ThinkPad E485 20KU - Ryzen 3 2200U / 2.5 GHz - Win 10 Pro 64-bit - 4 GB RAM - 500 GB HDD - 14in 1366 x 768 (HD) - Radeon Vega 3 - Wi-Fi; Bluetooth - black (20KU0018US)
macmall_116,,20KV000YUS,,Lenovo ThinkPad E585 20KV - Ryzen 7 2700U / 2.2 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2; NVMe - 15.6in IPS 1920 x 1080 (Full HD) - Radeon RX Vega 10 - Wi-Fi; Bluetooth - black (20KV000YUS)
macmall_122,,PC51277,,Dell Latitude E6440 Notebook 14HD Intel Core i5-4300M 2.6Ghz; 8GB RAM;  1TB HD; DVD+/-RW; Windows 10 Professional 64bit - Refurbished (PC5-1277)
macmall_123,,PC51279,,Lenovo ThinkPad T540 Notebook 15.6HD Intel Core i5-4300M 2.6GHz; 8GB RAM; 256GB SSD HD; DVD-ROM; Windows 10 Professional 64bit - Refurbished (PC5-1279)
macmall_124,,PC51405,,Dell Latitude E7450 5th Gen Intel Core i5-5300U Dual-Core 2.30GHz Notebook PC - 8GB RAM; 128GB SSD; No Optical Drive; 14in HD Display; Integrated Graphics; Windows 10 Pro 64-bit - Refurbished (PC5-1405)
macmall_125,,PC51406,,Dell Latitude E7450 5th Gen Intel Core i5-5300U Dual-Core 2.30GHz Notebook PC - 8GB RAM; 1TB HDD; No Optical Drive; 14in HD Display; Integrated Graphics; Windows 10 Pro 64-bit - Refurbished (PC5-1406)
macmall_126,,PC51412,,HP Inc. ZBook 15 G2 Intel Core i7-4810MQ Quad-Core 2.80GHz Mobile Workstation - 16GB RAM; 512GB SSD; DVD+/-RW; 15.6in FHD Display; Integrated Graphics; Webcam; Windows 10 Pro 64-bit - Refurbished (PC5-1412)
macmall_127,,PC51414,,HP Inc. ProBook 640 G2 6th Gen Intel Core i5-6300U Dual-Core 2.40GHz Notebook PC - 8GB RAM; 500GB HDD; No Optical Drive; 14in HD Display; Integrated Graphics; Webcam; Windows 10 Pro 64-bit - Refurbished (PC5-1414)
