clusterID,Values,Size,IDs
cluster_10389, VM2W2A1A2BUS01A; , 1,howardcomputer_1993; 
cluster_964, QQDBURJOEAUWBQV5; 192545300162; , 1,massgenie_287; 
cluster_17791, 719192618954; 161816283; , 2,buydig_34; walmart_740; 
cluster_7965, 4713883421300; NXVEFEK008; , 1,Box_398; 
cluster_1972, MPXT2BA; NOT04770; 190198393630; , 1,cclonline_176; 
cluster_10694, HPHXIWKQQTKQJXMW; 884116262503; , 1,massgenie_269; 
cluster_13614, LEN20MM0005US; , 1,techcrave_1414; 
cluster_22527, 2ST02UTABA; 2ST02UT; 40791394; 192330706575; 191628931521; HE450G52ST02; , 6,truecurate_59; bestbuy_692; macmall_348; pcmg_15; sdicraft_181; savingslots_504; 
cluster_13855, GS63VR002; 824142148426; , 1,truecurate_187; 
cluster_1816, CF19ZA229BM; , 1,portableone_189; 
cluster_11976, 50348571; 825633351424; , 1,walmart_258; 
cluster_2449, 719192616554; , 1,buydig_64; 
cluster_3690, K410UAEB010R; 4712900873979; , 1,jw_42; 
cluster_5852, 20LW003DUS; 192651068666; , 1,howardcomputer_1259; 
cluster_10812, MU5KPDGPOMKGLAOV; , 1,massgenie_508; 
cluster_427, 889899584323; , 1,techcrave_718; 
cluster_9478, 20H9004RUS; 191545094293; , 1,howardcomputer_1539; 
cluster_17376, 825633411111; 40516100; PC50829; , 2,pcmg_118; macmall_61; 
cluster_14537, 190781963479; , 1,antonline_328; 
cluster_1536, GETBE23C5DAEGXX; , 1,techcrave_2492; 
cluster_3114, 618564692229; 493044409; , 1,walmart_588; 
cluster_14706, 888182712900; , 1,techcrave_488; 
cluster_7038, 887276275710; , 1,antonline_538; 
cluster_1363, 884116293125; 262696178; , 1,walmart_68; 
cluster_2831, 190781755500; , 1,techcrave_363; 
cluster_3118, 4250519946542; XMGA07nyd; B01NAZ7A24; , 1,gdxtech_66; 
cluster_14210, MUJ3MTXJ2DKWAVXC; , 1,massgenie_674; 
cluster_8407, 191628568956; 2LT03USABA; , 1,howardcomputer_1753; 
cluster_7140, 190781620204; , 1,techcrave_352; 
cluster_20212, 884116298571; 3YG31UT; N6PNV; , 3,savingslots_233; howardcomputer_1729; antonline_493; 
cluster_9613, 4719331945190; Sabre171050Ti802; , 1,jw_84; 
cluster_16401, T6F46UTABA; HE840G3T6F46; 889894869203; 13777672; , 2,sdicraft_105; pcmg_201; 
cluster_3265, 4250519946825; B01MZ6MU7S; XMGU727dsb; , 1,gdxtech_82; 
cluster_21755, 889842248852; , 4,buydig_251; antonline_32; abt_128; buydig_37; 
cluster_13752, P65020; , 1,macmall_640; 
cluster_5029, 1PH95UTABA; 190781714842; HEX21012EG95; , 1,sdicraft_350; 
cluster_25, 40985861; 20KH002WUS; 192158799896; , 1,pcmg_463; 
cluster_5970, 190576526513; B01N25OCC0; SP31551599E; , 1,electronicsface-282.html; 
cluster_19307, LATI5590C6JC7; 884116283010; 192545207973; , 3,savingslots_347; truecurate_170; bestbuy_523; 
cluster_4023, 1QQBZXQIUQFRBPL7; 887276248899; , 1,massgenie_732; 
cluster_4858, 54392398; 812177027526; , 1,walmart_835; 
cluster_8741, 45956794917; 183617532; , 1,walmart_381; 
cluster_17531, GA00122US; 447482; 842776102270; , 2,microcenter_42; bestbuy_552; 
cluster_7195, 889899972106; , 1,techcrave_732; 
cluster_8242, GETBE23YQDAEGXX; , 1,techcrave_2591; 
cluster_4157, 889296847052; , 1,techcrave_636; 
cluster_4079, 1DL02EAABD; 190781513346; B01N7XRTGP; , 1,gdxtech_119; 
cluster_14711, Z301MA2GR; IN1FC966; 889349820124; , 1,microcart_94; 
cluster_16934, CF54J205VM; 885170335820; , 2,howardcomputer_241; macmall_473; 
cluster_9249, VH10112110010F00; , 1,howardcomputer_1509; 
cluster_9522, HE850G41BS48; 1BS48UTABA; 190781385646; , 1,sdicraft_179; 
cluster_88, SNOINS238438SD; , 1,techcrave_2114; 
cluster_10151, SNOINS221616SA; , 1,techcrave_2054; 
cluster_8385, 1MP25UT; 191376732432; , 1,savingslots_8; 
cluster_16612, CF54D2401KM; 885170299122; PACF54D2401K; , 2,howardcomputer_163; sdicraft_108; 
cluster_14002, GETBA73BDAAEDXX; , 1,techcrave_2324; 
cluster_8116, 885170274464; CF20A0001VM; PACF20A0001V; , 1,sdicraft_367; 
cluster_1844, A3HVUMAJMVRXBHNA; 884116298403; , 1,massgenie_700; 
cluster_12150, 943300006; , 1,howardcomputer_1527; 
cluster_18482, 889349695869; X751NADS21Q; , 2,truecurate_70; techcrave_1912; 
cluster_2783, XMGP707qyz; B01MY52LL7; 4250519946771; , 1,gdxtech_168; 
cluster_16156, 20LB0027US; 192563250821; 41030049; , 2,macmall_74; pcmg_237; 
cluster_11787, ACBNXVATAA009; , 1,techcrave_1720; 
cluster_7406, 884116313731; G37795731BLKPUS; , 1,bestbuy_397; 
cluster_15252, 825633455603; PC51261; 41298327; , 2,macmall_76; pcmg_122; 
cluster_351, 559231607; 192018721937; , 1,walmart_201; 
cluster_4019, V1H17UT; 884116282983; , 1,savingslots_309; 
cluster_7198, 643907578007; MJVE2LLA; , 1,bestbuy_176; 
cluster_3285, 884116276418; 588205106; , 1,walmart_916; 
cluster_12641, 81BG00C8UK; 192076998432; , 1,Box_177; 
cluster_20302, 884116279327; R2GP7; IN9K9819; , 3,microcart_61; howardcomputer_259; techcrave_2184; 
cluster_21704, 884116283560; FTOTLP64TSQSNJ2U; , 4,rlsteinway_28; massgenie_651; techcrave_1932; buydig_206; 
cluster_18550, 81AX00FHUK; NOT04970; 192158991160; , 2,Box_174; cclonline_49; 
cluster_1724, CVE89TGSOYQLPGMO; 719192618381; , 1,massgenie_585; 
cluster_15583, 4XN68UAABA; HE14DF4XN68U; , 2,macmall_509; bhphotovideo_129; 
cluster_3935, V1P72UT; 884116282921; , 1,savingslots_462; 
cluster_9885, VM2C1A1A2AUS0AA; , 1,howardcomputer_2091; 
cluster_18511, PC51080; 41039338; , 2,pcmg_104; macmall_145; 
cluster_1932, PC50990; , 1,macmall_588; 
cluster_10100, 888182617953; , 1,techcrave_470; 
cluster_20675, 194763532; 192018324145; , 3,buydig_222; computerdealsdirect_1; walmart_583; 
cluster_8086, 4713883586764; NXGT8EK001; , 1,Box_379; 
cluster_3354, DC3WD98UTCA; 192545207171; , 1,kaizyr_120; 
cluster_6762, GETBB73B5DAEDXX; , 1,techcrave_2402; 
cluster_1684, 193268148338; Z4BMCLAF4OQAB4O9; , 1,massgenie_586; 
cluster_3679, 191927502583; 81C3000LUS; , 1,truecurate_121; 
cluster_823, 193124791791; 20MB001TUS; , 1,howardcomputer_1043; 
cluster_3340, 193015025424; 4SJ54USABA; , 1,howardcomputer_2097; 
cluster_12110, SNOINS235449SA; , 1,techcrave_2099; 
cluster_2219, FUJBUH0030000WAAAFR; , 1,techcrave_909; 
cluster_8635, 192876112526; LATI5590WH14J; , 1,savingslots_397; 
cluster_18459, 884116280958; , 2,antonline_1079; techcrave_2220; 
cluster_68, 888793857137; , 1,techcrave_578; 
cluster_13014, GETXJ5SL5UABXNL; , 1,techcrave_1099; 
cluster_11879, 115355341; 825633446106; , 1,walmart_697; 
cluster_19886, 192018230361; XPS95705804SLV; TO86JUFBJIEC8WTD; , 3,antonline_373; massgenie_253; savingslots_68; 
cluster_10910, 888793736326; , 1,techcrave_570; 
