clusterID,Values,Size,IDs
cluster_14232, LEN20L9001VUS; , 1,techcrave_228; 
cluster_1136, 191628568956; 2LT03USABA; , 1,howardcomputer_1753; 
cluster_1486, DC3FF69UTCA; 192018639348; , 1,kaizyr_196; 
cluster_8137, 56014059; 825633420137; , 1,walmart_866; 
cluster_507, C2N21UAABA; 887111472212; , 1,howardcomputer_1133; 
cluster_1027, 889349572924; KMYW3; B01BVX3UT2; , 1,electronicsface_121; 
cluster_2144, LEN20M70033US; , 1,techcrave_1410; 
cluster_10866, 815592021957; 56083776; , 1,walmart_233; 
cluster_13402, LQQ00024; 889842386486; , 1,bestbuy_862; 
cluster_1988, 472000005208; , 1,antonline_28; 
cluster_20085, 889842193473; FKH00001; MISPI716512; , 3,bestbuy_893; sdicraft_359; buydig_504; 
cluster_13723, GETBE234RAAEXXX; , 1,techcrave_2475; 
cluster_15149, 884116293859; G55875859BLKPUS; , 2,truecurate_301; bestbuy_385; 
cluster_599, MPGH2LLA; APIPPW5110SG; 190198314635; , 1,sdicraft_598; 
cluster_22138, 889899050187; 13794791; HEZ15G3V2W10; 3RF14UT; 1748E0E550C54535; 56BFCE0A0C6E3B0F; V2W10UTABA; , 6,savingslots_91; macmall_292; sdicraft_375; pcmg_319; massgenie_196; massgenie_317; 
cluster_57, 20MU000VUS; 192651231978; , 1,macmall_455; 
cluster_8187, 14ak030nr; B01KWCICGE; 884116205944; , 1,electronicsface_173; 
cluster_3286, 889349248379; i75597512GRY; B015PZ0EHS; , 1,electronicsface_119; 
cluster_14391, 2KP54USABA; 191628489435; , 1,howardcomputer_1741; 
cluster_1535, 192330779296; IN4AP322; 20KH006XUS; , 1,microcart_20; 
cluster_3003, 2J4NW64FZDFKTSHB; 192158802046; , 1,massgenie_71; 
cluster_3290, HPIW1Z80USABA; , 1,techcrave_702; 
cluster_7312, 760625128854; , 1,galleon_77; 
cluster_20384, 1FX82UTABA; HECB11G51F82; 40461297; 1FX82UT; 190781580164; , 3,bestbuy_554; bhphotovideo_68; pcmg_701; 
cluster_9785, LEN20KU001BUS; , 1,techcrave_1254; 
cluster_16573, 192563743712; 81DM001UUS; , 2,bestbuy_739; truecurate_371; 
cluster_3437, 1ZH58PA; , 1,jw_95; 
cluster_5201, 887779874809; , 1,galleon_9; 
cluster_6142, HE450G52TA30; 2TA30UTABA; 191628961092; , 1,sdicraft_135; 
cluster_4195, 884116294115; 577646710; , 1,walmart_92; 
cluster_5030, IN1N0190; KIDSZEEPADGRN; 711091673430; , 1,microcart_203; 
cluster_17703, 20LS0015UK; 192330052962; NOT05262; , 2,box_0053; cclonline_168; 
cluster_7367, 889661163237; , 1,techcrave_1627; 
cluster_8318, SE2D25DAADSX; , 1,portableone_279; 
cluster_4229, 1LZ36EAABD; B06XJWV69P; 190781806295; , 1,gdxtech_19; 
cluster_17463, 190781697770; , 2,antonline_392; buydig_426; 
cluster_18240, 191628140930; , 2,antonline_114; buydig_401; 
cluster_13897, 3FB87UTABA; HEZBX2G43F87; 192018632271; , 1,sdicraft_575; 
cluster_2123, PC51014; , 1,macmall_138; 
cluster_4441, 889296846253; , 1,techcrave_635; 
cluster_8414, 190780963005; Z8J68USABA; , 1,howardcomputer_11; 
cluster_4927, 191999586559; , 1,techcrave_1237; 
cluster_4329, 40661422; 2HU30UTABA; 191628411252; , 1,pcmg_393; 
cluster_7331, 792220114; 889349471715; , 1,walmart_133; 
cluster_4251, 889661185802; , 1,techcrave_1543; 
cluster_14883, V1P74UTABA; HE640G2V1P74; 889894960689; , 2,howardcomputer_233; sdicraft_102; 
cluster_17106, 192018926707; 3PD94UTABA; 40971447; , 2,pcmg_533; antonline_254; 
