clusterID,Size,IDs,,,clusterID,Size,,clusterID,Size,,clusterID,Size,,clusterID,Size,,clusterID,Size,,clusterID,Size,,clusterID,Size,,clusterID,Size,,,,,,
cluster_18538,12,antonline_0161,nautilusnet_0053,nautilusnet_0006,cluster_18538,12,buydig_0400,cluster_18538,12,pcmg_0653,cluster_18538,12,antonline_0402,cluster_18538,12,savingslots_0061,cluster_18538,12,pcmg_0458,cluster_18538,12,abt_0041,cluster_18538,12,howardcomputers_0069,cluster_18538,12,techcrave_0004,cluster_18538,12,buydig_0435,cluster_18538,12
cluster_18562,10,buydig_0488,howardcomputers_0870,sdicraft_0206,cluster_18562,10,massgenie_0461,cluster_18562,10,techcrave_1891,cluster_18562,10,antonline_1104,cluster_18562,10,truecurate_0033,cluster_18562,10,savingslots_0115,cluster_18562,10,pcmg_0510,cluster_18562,10,massgenie_0544,cluster_18562,10,,,,,,
cluster_18561,9,macmall_0268,antonline_0654,howardcomputers_0015,cluster_18561,9,pcmg_0010,cluster_18561,9,truecurate_0465,cluster_18561,9,techcrave_0210,cluster_18561,9,cukusa_0075,cluster_18561,9,massgenie_0619,cluster_18561,9,savingslots_0252,cluster_18561,9,,cluster_18561,9,,,,,,
cluster_18556,9,techcrave_0107,kaizyr_0110,massgenie_0921,cluster_18556,9,pcmg_0259,cluster_18556,9,savingslots_0308,cluster_18556,9,buydig_0464,cluster_18556,9,howardcomputers_1069,cluster_18556,9,macmall_0107,cluster_18556,9,antonline_0179,cluster_18556,9,,cluster_18556,9,,,,,,
cluster_18559,9,howardcomputers_0633,savingslots_0329,massgenie_0962,cluster_18559,9,antonline_0178,cluster_18559,9,buydig_0162,cluster_18559,9,pcmg_0258,cluster_18559,9,techcrave_0108,cluster_18559,9,kaizyr_0111,cluster_18559,9,macmall_0106,cluster_18559,9,,cluster_18559,9,,,,,,
cluster_18560,9,techcrave_1815,galleon_0058,antonline_0845,cluster_18560,9,savingslots_0070,cluster_18560,9,microcenter_0117,cluster_18560,9,cukusa_0026,cluster_18560,9,massgenie_0212,cluster_18560,9,massgenie_0268,cluster_18560,9,abt_0117,cluster_18560,9,,cluster_18560,9,,,,,,
cluster_18539,8,techcrave_0168,massgenie_0326,savingslots_0114,cluster_18539,8,massgenie_0435,cluster_18539,8,antonline_1113,cluster_18539,8,buydig_0416,cluster_18539,8,truecurate_0275,cluster_18539,8,pcmg_0604,cluster_18539,8,,cluster_18539,8,,cluster_18539,8,,,,,,
cluster_18540,8,techcrave_0139,antonline_0362,sdicraft_0117,cluster_18540,8,massgenie_0672,cluster_18540,8,massgenie_0828,cluster_18540,8,howardcomputers_0057,cluster_18540,8,electronicsface_0142,cluster_18540,8,savingslots_0273,cluster_18540,8,,cluster_18540,8,,cluster_18540,8,,,,,,
cluster_18552,8,savingslots_0103,nautilusnet_0062,buydig_0310,cluster_18552,8,sdicraft_0297,cluster_18552,8,pcmg_0532,cluster_18552,8,techcrave_0070,cluster_18552,8,massgenie_0340,cluster_18552,8,antonline_0261,cluster_18552,8,,cluster_18552,8,,cluster_18552,8,,,,,,
cluster_18549,8,kaizyr_0119,massgenie_0692,pcmg_0205,cluster_18549,8,techcrave_0081,cluster_18549,8,antonline_0184,cluster_18549,8,microcenter_0123,cluster_18549,8,buydig_0376,cluster_18549,8,massgenie_0606,cluster_18549,8,,cluster_18549,8,,cluster_18549,8,,,,,,
cluster_18554,8,macmall_0306,massgenie_0574,truecurate_0227,cluster_18554,8,antonline_0949,cluster_18554,8,savingslots_0098,cluster_18554,8,pcmg_0423,cluster_18554,8,massgenie_0790,cluster_18554,8,sdicraft_0434,cluster_18554,8,,cluster_18554,8,,cluster_18554,8,,,,,,
cluster_18537,8,truecurate_0001,howardcomputers_1160,buydig_0388,cluster_18537,8,kaizyr_0066,cluster_18537,8,pcmg_0215,cluster_18537,8,antonline_0354,cluster_18537,8,sdicraft_0171,cluster_18537,8,massgenie_0259,cluster_18537,8,,cluster_18537,8,,cluster_18537,8,,,,,,
cluster_18555,8,howardcomputers_0098,pcmg_0593,savingslots_0647,cluster_18555,8,antonline_1198,cluster_18555,8,abt_0104,cluster_18555,8,galleon_0005,cluster_18555,8,macmall_0595,cluster_18555,8,truecurate_0188,cluster_18555,8,,cluster_18555,8,,cluster_18555,8,,,,,,
cluster_18546,8,rlsteinway_0081,massgenie_0153,truecurate_0464,cluster_18546,8,techcrave_0218,cluster_18546,8,howardcomputers_0076,cluster_18546,8,antonline_0658,cluster_18546,8,pcmg_0438,cluster_18546,8,microcenter_0120,cluster_18546,8,,cluster_18546,8,,cluster_18546,8,,,,,,
cluster_18550,8,antonline_0186,techcrave_0064,savingslots_0037,cluster_18550,8,sdicraft_0354,cluster_18550,8,massgenie_0143,cluster_18550,8,nautilusnet_0029,cluster_18550,8,buydig_0394,cluster_18550,8,rlsteinway_0061,cluster_18550,8,,cluster_18550,8,,cluster_18550,8,,,,,,
cluster_18551,8,howardcomputers_1139,buydig_0384,bhphotovideo_0036,cluster_18551,8,truecurate_0046,cluster_18551,8,sdicraft_0199,cluster_18551,8,antonline_0388,cluster_18551,8,pcmg_0658,cluster_18551,8,techcrave_0029,cluster_18551,8,,cluster_18551,8,,cluster_18551,8,,,,,,
cluster_18536,8,buydig_0422,antonline_0119,savingslots_0332,cluster_18536,8,techcrave_0016,cluster_18536,8,massgenie_0872,cluster_18536,8,pcmg_0219,cluster_18536,8,massgenie_0933,cluster_18536,8,truecurate_0003,cluster_18536,8,,cluster_18536,8,,cluster_18536,8,,,,,,
cluster_18553,8,buydig_0190,sdicraft_0252,howardcomputers_0389,cluster_18553,8,techcrave_0083,cluster_18553,8,antonline_0105,cluster_18553,8,massgenie_0645,cluster_18553,8,savingslots_0242,cluster_18553,8,pcmg_0535,cluster_18553,8,,cluster_18553,8,,cluster_18553,8,,,,,,
cluster_18477,7,cukusa_0013,savingslots_0165,massgenie_0510,cluster_18477,7,truecurate_0190,cluster_18477,7,abt_0120,cluster_18477,7,massgenie_0433,cluster_18477,7,techcrave_1814,cluster_18477,7,,cluster_18477,7,,cluster_18477,7,,cluster_18477,7,,,,,,
cluster_18483,7,antonline_0419,pcmg_0320,savingslots_0049,cluster_18483,7,sdicraft_0412,cluster_18483,7,electronicsface_0176,cluster_18483,7,macmall_0281,cluster_18483,7,massgenie_0132,cluster_18483,7,,cluster_18483,7,,cluster_18483,7,,cluster_18483,7,,,,,,
cluster_18506,7,kaizyr_0071,antonline_0343,buydig_0482,cluster_18506,7,electronicsface_0155,cluster_18506,7,savingslots_0288,cluster_18506,7,howardcomputers_0091,cluster_18506,7,techcrave_0002,cluster_18506,7,,cluster_18506,7,,cluster_18506,7,,cluster_18506,7,,,,,,
cluster_18500,7,savingslots_0248,pcmg_0667,massgenie_0658,cluster_18500,7,howardcomputers_0595,cluster_18500,7,massgenie_0750,cluster_18500,7,macmall_0506,cluster_18500,7,antonline_0723,cluster_18500,7,,cluster_18500,7,,cluster_18500,7,,cluster_18500,7,,,,,,
cluster_18493,7,massgenie_0163,macmall_0341,massgenie_0237,cluster_18493,7,pcmg_0048,cluster_18493,7,antonline_0340,cluster_18493,7,buydig_0171,cluster_18493,7,sdicraft_0494,cluster_18493,7,,cluster_18493,7,,cluster_18493,7,,cluster_18493,7,,,,,,
cluster_18484,7,massgenie_0357,nautilusnet_0040,savingslots_0094,cluster_18484,7,techcrave_0024,cluster_18484,7,howardcomputers_0771,cluster_18484,7,antonline_0394,cluster_18484,7,massgenie_0279,cluster_18484,7,,cluster_18484,7,,cluster_18484,7,,cluster_18484,7,,,,,,
cluster_18501,7,sdicraft_0355,massgenie_0191,nautilusnet_0037,cluster_18501,7,techcrave_0036,cluster_18501,7,buydig_0505,cluster_18501,7,massgenie_0249,cluster_18501,7,savingslots_0058,cluster_18501,7,,cluster_18501,7,,cluster_18501,7,,cluster_18501,7,,,,,,
cluster_18531,7,truecurate_0354,antonline_0206,buydig_0056,cluster_18531,7,macmall_0435,cluster_18531,7,savingslots_0450,cluster_18531,7,howardcomputers_0840,cluster_18531,7,buydig_0260,cluster_18531,7,,cluster_18531,7,,cluster_18531,7,,cluster_18531,7,,,,,,
cluster_18513,7,macmall_0133,buydig_0158,pcmg_0284,cluster_18513,7,sdicraft_0414,cluster_18513,7,massgenie_0772,cluster_18513,7,savingslots_0218,cluster_18513,7,antonline_0420,cluster_18513,7,,cluster_18513,7,,cluster_18513,7,,cluster_18513,7,,,,,,
cluster_18515,7,buydig_0380,pcmg_0145,truecurate_0010,cluster_18515,7,macmall_0293,cluster_18515,7,savingslots_0583,cluster_18515,7,antonline_0158,cluster_18515,7,abt_0064,cluster_18515,7,,cluster_18515,7,,cluster_18515,7,,cluster_18515,7,,,,,,
cluster_18489,7,macmall_0308,massgenie_0756,pcmg_0421,cluster_18489,7,howardcomputers_0009,cluster_18489,7,antonline_1146,cluster_18489,7,sdicraft_0450,cluster_18489,7,techcrave_0178,cluster_18489,7,,cluster_18489,7,,cluster_18489,7,,cluster_18489,7,,,,,,
cluster_18514,7,macmall_0227,techcrave_0105,pcmg_0368,cluster_18514,7,buydig_0315,cluster_18514,7,massgenie_0942,cluster_18514,7,savingslots_0323,cluster_18514,7,antonline_0283,cluster_18514,7,,cluster_18514,7,,cluster_18514,7,,cluster_18514,7,,,,,,
