clusterID,Values,Size,DogIDs
cluster_6236, 74198612369; 74198612468; 74198612345; MISGB074198612369; 74198612352; 434273; 434272; TW2575; MISGB074198612352; 11952; ,13,megapet_105; bibita_156; mypetwarehouse_187; bibita_396; mypetwarehouse_188; miscota_332; mypetwarehouse_179; bigdogworld_024; megapet_104; miscota_331; bibita_118; mypetwarehouse_186; bibita_224; 
cluster_6199, 74198612208; 74198612192; 74198612215; 359584; 359585; MISGB74198612208; MISGB74198612192; MISGB074198612215; TW2562; 93429; ,12,bibita_386; mypetwarehouse_196; bibita_226; megapet_109; megapet_110; bigdogworld_029; miscota_002; mypetwarehouse_197; bibita_146; mypetwarehouse_195; miscota_001; miscota_003; 
cluster_6241, 3182550716888; 3182550835336; 3182550709972; 3182550727822; 359486; 133948; MISGB3182550835336; MISGB3182550727822; MISGB3182550716888; ,12,cheshirepetsupplies_082; bibita_220; miscota_295; mypetwarehouse_118; miscota_294; cheshirepetsupplies_046; bibita_390; bibita_144; mypetwarehouse_124; megapet_080; megapet_097; miscota_296; 
cluster_6210, 74198612505; 74198612512; 74198612499; MISGB074198612512; 62961; 434385; 434384; MISGB074198612505; TW2588; ,11,mypetwarehouse_189; miscota_045; miscota_044; bibita_222; megapet_108; bigdogworld_026; bibita_151; mypetwarehouse_191; bibita_391; megapet_107; mypetwarehouse_190; 
cluster_6203, 3182550821773; 3182550799775; 169; MISGB3182550821773; 461973; 39613; 461974; MISGB3182550799775; ,11,miscota_116; mypetwarehouse_087; bibita_053; cheshirepetsupplies_028; bibita_293; bibita_376; megapet_088; mypetwarehouse_071; miscota_239; bibita_136; mypetwarehouse_164; 
cluster_6242, 74198612697; 39519; ,10,mypetwarehouse_165; roguevalleypet_172; countrymax_108; petsense_079; concordpetfoods_053; petnutritioncenter_221; concordpetfoods_060; healthypetcenter_303; horseandhound_138; concordpetfoods_066; 
cluster_6240, 840243105243; BL105243; 495906030; 23853; ,10,concordpetfoods_121; petnutritioncenter_115; healthypetcenter_109; petsense_039; petfood_076; countrymax_032; horseandhound_008; dog_131; roguevalleypet_037; petsupplies_127; 
cluster_6171, 3182550715645; 3182550715614; 359494; 28; 1722120; MISGB3182550715645; MISGB3182550715614; ,10,cheshirepetsupplies_060; megapet_057; miscota_164; bigdogworld_009; megapet_058; mypetwarehouse_088; miscota_165; cheshirepetsupplies_061; bibita_268; bibita_028; 
cluster_6204, 74198612291; 74198612239; 359583; 93426; 11958; MISGB074198612239; TW2571; MISGB074198612291; ,10,bigdogworld_020; bibita_145; miscota_009; mypetwarehouse_175; megapet_101; mypetwarehouse_166; miscota_327; bibita_198; megapet_098; bibita_356; 
cluster_6237, 840243104871; 495909006; BL104871; ,9,countrymax_039; petfood_012; dog_016; petsupplies_050; roguevalleypet_041; horseandhound_010; speckspets_011; petnutritioncenter_119; healthypetcenter_113; 
cluster_6179, 3182550813020; 3182550730587; 359496; 117; MISGB3182550813020; 359497; ,8,miscota_343; cheshirepetsupplies_090; bibita_210; cheshirepetsupplies_091; mypetwarehouse_129; mypetwarehouse_162; bibita_135; bibita_375; 
cluster_6229, 723633420600; 236063; 493577014; 35651; ,8,concordpetfoods_132; dog_101; healthypetcenter_244; petsense_011; petsupplies_020; horseandhound_049; petfood_103; roguevalleypet_091; 
cluster_6215, 840243105700; BL105700; ,7,petnutritioncenter_121; dog_078; roguevalleypet_043; healthypetcenter_115; petfood_022; petsense_037; petsupplies_096; 
cluster_6208, 74198612659; ,7,petsense_035; roguevalleypet_173; healthypetcenter_304; mypetwarehouse_181; countrymax_115; petnutritioncenter_222; horseandhound_139; 
cluster_6190, 74198611010; 134638; ,7,roguevalleypet_179; petsense_024; horseandhound_145; petnutritioncenter_231; healthypetcenter_313; countrymax_117; hardwarestore_050; 
cluster_6209, 3182550716932; 461846; MISGB3182550716932; 3182550716826; 174; MISGB3182550716826; ,7,mypetwarehouse_130; megapet_086; cheshirepetsupplies_093; bibita_328; miscota_235; bibita_088; miscota_234; 
